year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean
2020,February,2,6,Punjab,Rajanpur,2,0,14.758571428571429,42.78285714285715,1.44,2.5928571428571425
2020,February,2,7,Punjab,Rajanpur,2,0,18.448571428571427,29.208571428571428,0.0,2.684285714285714
2020,February,2,8,Punjab,Rajanpur,1,0,20.22142857142857,32.957142857142856,0.0,3.564285714285714
2020,February,2,5,Punjab,Bahawalnagar,2,0,13.10142857142857,60.80285714285714,5.7700000000000005,2.052857142857143
2020,February,2,6,Punjab,Bahawalnagar,2,0,12.889999999999999,51.01714285714286,0.0,2.162857142857143
2020,February,2,7,Punjab,Bahawalnagar,2,0,16.98,39.87285714285714,0.0,2.3057142857142856
2020,February,2,8,Punjab,Bahawalnagar,1,0,18.17142857142857,42.458571428571425,0.02,2.96
2020,March,3,9,Punjab,Lahore,4,0,18.44142857142857,62.33428571428571,13.93,2.85
2020,March,3,10,Punjab,Lahore,5,0,17.134285714285713,73.07000000000001,50.44,2.6442857142857146
2020,March,3,11,Punjab,Lahore,4,0,16.274285714285714,66.96714285714286,34.949999999999996,3.0542857142857143
2020,March,3,12,Punjab,Lahore,4,0,20.274285714285718,67.29571428571428,0.14,2.2485714285714287
2020,March,3,9,Punjab,Faisalabad,3,0,19.099999999999998,59.44428571428572,30.89,2.7857142857142856
2020,March,3,10,Punjab,Faisalabad,3,0,17.327142857142857,71.48,51.690000000000005,2.757142857142857
2020,March,3,11,Punjab,Faisalabad,3,0,16.054285714285715,69.73714285714286,82.95,2.7271428571428573
2020,March,3,12,Punjab,Faisalabad,3,0,20.35571428571429,69.97285714285714,0.9600000000000001,2.012857142857143
2020,March,3,9,Punjab,Rawalpindi,2,0,15.98857142857143,73.11857142857143,543.26,2.3814285714285717
2020,March,3,10,Punjab,Rawalpindi,3,0,14.188571428571427,81.83,110.27,3.3114285714285714
2020,March,3,11,Punjab,Rawalpindi,3,0,13.69,70.63857142857144,180.5,2.8857142857142857
2020,March,3,12,Punjab,Rawalpindi,2,0,17.638571428571428,75.33857142857143,15.76,2.1942857142857144
2020,March,3,9,Punjab,Gujranwala,2,0,17.695714285714285,67.97,25.130000000000003,2.62
2020,March,3,10,Punjab,Gujranwala,3,0,16.538571428571426,77.84714285714287,62.599999999999994,2.7314285714285718
2020,March,3,11,Punjab,Gujranwala,2,0,15.714285714285714,71.16,39.34,2.932857142857143
2020,March,3,12,Punjab,Gujranwala,2,0,19.455714285714286,73.88285714285715,0.28,2.1228571428571428
2020,March,3,9,Punjab,Multan,2,0,21.41142857142857,45.462857142857146,22.28,3.182857142857143
2020,March,3,10,Punjab,Multan,3,0,18.725714285714286,66.95285714285714,84.55,2.662857142857143
2020,March,3,11,Punjab,Multan,2,0,16.48857142857143,71.73714285714286,219.35999999999999,2.7457142857142856
2020,March,3,12,Punjab,Multan,2,0,20.66857142857143,69.92857142857143,10.31,2.1814285714285715
2020,March,3,9,Punjab,Sheikhupura,2,0,18.83142857142857,60.51428571428572,21.32,2.837142857142857
2020,March,3,10,Punjab,Sheikhupura,2,0,17.104285714285716,72.54285714285714,53.31999999999999,2.6228571428571428
