year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean,month_sin,month_cos,week_sin,week_cos,t1_cases,t2_cases,T2M_lag1,PRECTOTCORR_lag1,PRECTOTCORR_lag2,water_proxy,district_encoded,isOutbreak
2018,April,4,13,Punjab,bahawalpur,1,0,29.65285714285714,11.5,0.0,3.0928571428571425,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766366e-16,1.0,2.0,25.77285714285714,1.49,0.0,1.49,2.0,0
2018,April,4,14,Punjab,bahawalpur,2,0,31.84857142857143,20.592857142857145,0.95,2.6757142857142857,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.1205366802553228,1.0,1.0,29.65285714285714,0.0,1.49,0.95,2.0,0
2018,April,4,15,Punjab,bahawalpur,1,0,30.75142857142857,25.891428571428573,1.1,3.1542857142857144,0.8660254037844387,-0.4999999999999998,0.970941817426052,-0.2393156642875575,2.0,1.0,31.84857142857143,0.95,0.0,2.05,2.0,0
2018,April,4,16,Punjab,bahawalpur,1,0,28.73428571428571,24.624285714285715,1.14,3.607142857142857,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.3546048870425354,1.0,2.0,30.75142857142857,1.1,0.95,2.24,2.0,0
2018,May,5,18,Punjab,bahawalpur,1,0,35.59428571428571,15.427142857142858,0.0,2.7014285714285715,0.4999999999999999,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,1.0,1.0,28.73428571428571,1.14,1.1,1.14,2.0,0
2018,May,5,19,Punjab,bahawalpur,2,0,34.637142857142855,22.85,1.88,2.9514285714285715,0.4999999999999999,-0.8660254037844387,0.7485107481711013,-0.663122658240795,1.0,1.0,35.59428571428571,0.0,1.14,1.88,2.0,0
2018,May,5,20,Punjab,bahawalpur,2,0,35.33571428571429,20.12142857142857,3.91,2.2871428571428574,0.4999999999999999,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,2.0,1.0,34.637142857142855,1.88,0.0,5.79,2.0,0
2018,May,5,21,Punjab,bahawalpur,1,0,36.07142857142857,11.364285714285714,0.0,2.7014285714285715,0.4999999999999999,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,2.0,2.0,35.33571428571429,3.91,1.88,3.91,2.0,0
2018,June,6,22,Punjab,bahawalpur,2,0,38.51,10.561428571428571,0.0,3.737142857142857,1.2246467991473532e-16,-1.0,0.464723172043769,-0.8854560256532096,1.0,2.0,36.07142857142857,0.0,3.91,0.0,2.0,0
2018,June,6,23,Punjab,bahawalpur,3,0,39.441428571428574,27.88428571428572,16.69,3.011428571428571,1.2246467991473532e-16,-1.0,0.3546048870425358,-0.9350162426854148,2.0,1.0,38.51,0.0,0.0,16.69,2.0,0
2018,June,6,24,Punjab,bahawalpur,2,0,37.66857142857143,33.80285714285714,2.5,6.44,1.2246467991473532e-16,-1.0,0.2393156642875576,-0.970941817426052,3.0,2.0,39.441428571428574,16.69,0.0,19.19,2.0,0
