year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean,month_sin,month_cos,week_sin,week_cos,t1_cases,t2_cases,T2M_lag1,PRECTOTCORR_lag1,PRECTOTCORR_lag2,water_proxy
2017,February,2,8,Punjab,gujranwala,3,0,16.985714285714288,44.98428571428571,2.26,3.132857142857143,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,4.0,4.0,18.632857142857144,0.56,0.23,2.82
2017,February,2,8,Punjab,gujrat,2,0,16.987142857142857,47.87857142857143,6.54,3.16,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,3.0,18.95,2.45,0.75,8.990000000000014
2017,February,2,8,Punjab,hafizabad,1,0,17.382857142857144,40.14428571428572,0.41,3.0814285714285714,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,18.665714285714284,0.13,0.08,0.5399999999999858
2017,February,2,8,Punjab,jhang,2,0,18.02285714285714,31.698571428571427,0.0,2.441428571428572,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,3.0,18.93428571428572,0.0,0.0,0.0
2017,February,2,8,Punjab,jhelum,1,0,16.41857142857143,45.52571428571429,3.87,3.192857142857143,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,18.037142857142857,3.04,0.94,6.909999999999986
2017,February,2,8,Punjab,kasur,2,0,18.257142857142856,34.504285714285714,0.06,2.7657142857142856,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,3.0,4.0,19.645714285714288,0.0,0.01,0.060000000000010656
2017,February,2,8,Punjab,khanewal,2,0,18.92,23.98428571428571,0.0,2.7014285714285715,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,20.627142857142854,0.0,0.0,0.0
2017,February,2,8,Punjab,khushab,1,0,15.808571428571428,38.39714285714285,0.03,2.858571428571428,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1.0,2.0,16.935714285714287,0.46,0.0,0.4900000000000142
2017,February,2,8,Punjab,lahore,6,0,17.602857142857143,38.94857142857143,0.53,2.968571428571429,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,6.0,6.0,19.10428571428572,0.07,0.04,0.6000000000000143
2017,February,2,8,Punjab,layyah,1,0,18.53857142857143,24.67,0.0,2.9400000000000004,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1.0,2.0,19.99142857142857,0.04,0.0,0.04
2017,February,2,8,Punjab,lodhran,1,0,19.73428571428571,17.074285714285715,0.0,2.518571428571428,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1.0,2.0,21.53142857142857,0.0,0.0,0.0
2017,February,2,8,Punjab,mandi bahauddin,1,0,17.041428571428572,43.26142857142857,1.5,3.3857142857142857,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,18.63,0.76,0.36,2.2600000000000002
2017,February,2,8,Punjab,mianwali,1,0,16.25,36.72857142857142,0.01,2.521428571428572,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1.0,2.0,17.571428571428573,3.7,0.0,3.7099999999999964
2017,February,2,8,Punjab,multan,2,0,19.357142857142858,20.43857142857143,0.0,2.832857142857143,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,4.0,4.0,21.09857142857143,0.0,0.0,0.0
2017,February,2,8,Punjab,muzaffargarh,2,0,19.357142857142858,20.43857142857143,0.0,2.832857142857143,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,3.0,3.0,21.09857142857143,0.0,0.0,0.0
2017,February,2,8,Punjab,nankana sahib,1,0,17.802857142857142,36.49142857142857,0.07,2.8628571428571425,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,19.06428571428572,0.01,0.01,0.08
2017,February,2,8,Punjab,narowal,1,0,17.167142857142856,46.72714285714285,6.51,3.141428571428572,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,18.94,1.85,0.17,8.359999999999985
2017,February,2,8,Punjab,okara,2,0,18.542857142857144,32.21,0.01,2.5685714285714285,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,19.824285714285715,0.0,0.0,0.01
2017,February,2,8,Punjab,pakpattan,1,0,19.122857142857143,25.15571428571429,0.0,2.325714285714286,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,20.81857142857143,0.0,0.0,0.0
2017,February,2,8,Punjab,rahim yar khan,2,0,20.72,15.12,0.0,2.611428571428572,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,3.0,3.0,22.365714285714287,0.0,0.0,0.0
2017,February,2,8,Punjab,rajanpur,1,0,20.085714285714285,16.777142857142856,0.0,2.407142857142857,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,21.707142857142856,0.0,0.0,0.0
2017,February,2,8,Punjab,rawalpindi,3,0,14.75,44.38428571428572,0.92,3.031428571428571,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,3.0,4.0,15.872857142857145,5.12,0.16,6.040000000000007
2017,February,2,8,Punjab,sahiwal,1,0,19.122857142857143,25.15571428571429,0.0,2.325714285714286,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,20.81857142857143,0.0,0.0,0.0
2017,February,2,8,Punjab,sargodha,2,0,18.09857142857143,33.22714285714286,0.0,2.591428571428572,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,3.0,19.102857142857143,0.05,0.0,0.05
