district_encoded,epi_week,mean_predicted,mean_temp,mean_humidity,mean_rainfall,mean_water,dominant_severity,cluster,risk_zone
16.0,10,4.710237180440754,19.037142857142857,52.72828571428572,17.607999999999997,23.422000000000004,1,1,Low Risk
16.0,11,5.272619804826135,19.82057142857143,47.79228571428572,9.662,27.270000000000003,1,1,Low Risk
16.0,12,4.032123451156599,22.386000000000003,45.69428571428572,2.07,11.732000000000005,1,1,Low Risk
16.0,13,3.487275189030523,26.06457142857143,38.22942857142857,9.672,11.742,1,0,Moderate Risk
16.0,14,2.9545189074156455,26.22142857142857,38.93057142857143,4.848000000000001,14.520000000000005,1,0,Moderate Risk
16.0,15,4.018111072842759,28.03857142857143,37.684285714285714,2.624,7.472000000000004,1,0,Moderate Risk
16.0,16,3.963533312007501,28.59314285714286,37.920857142857145,15.680000000000001,18.304000000000006,1,0,Moderate Risk
16.0,18,2.8252463094813938,31.93342857142857,29.675142857142855,2.54,18.220000000000006,1,0,Moderate Risk
16.0,19,3.460167439731672,33.818,27.01,1.672,4.2120000000000015,1,0,Moderate Risk
16.0,20,5.750953201393471,33.76914285714285,29.70885714285714,8.118,9.790000000000003,1,0,Moderate Risk
16.0,21,3.8300615069567536,34.691428571428574,26.194857142857142,6.27,14.388000000000005,1,0,Moderate Risk
16.0,22,3.503745666049877,36.71314285714286,23.186,3.016,9.286000000000005,1,0,Moderate Risk
16.0,23,5.743724483251723,35.91685714285715,31.380285714285712,16.0,19.016000000000002,1,0,Moderate Risk
16.0,24,6.683231699952378,36.81114285714286,32.158,16.509999999999998,32.510000000000005,2,0,Moderate Risk
16.0,25,4.778739338346344,35.87228571428572,36.97714285714285,16.625999999999998,33.136,1,0,Moderate Risk
16.0,26,5.846279923305316,35.338857142857144,45.785714285714285,34.078,50.70400000000001,2,2,High Risk
16.0,27,14.611500041614718,35.81142857142857,44.64257142857143,40.022000000000006,74.1,3,2,High Risk
16.0,28,26.863014417967882,34.66314285714286,51.738857142857135,51.65,91.672,3,2,High Risk
16.0,29,10.335900945043688,33.16514285714286,59.26971428571428,45.474000000000004,97.124,3,2,High Risk
16.0,31,30.7840534582921,32.40828571428572,62.446285714285715,34.738,80.212,3,3,Hotspot
16.0,32,73.3855935092121,32.650857142857134,62.062,28.596000000000004,63.334,3,3,Hotspot
16.0,33,85.04274396892525,32.43714285714286,60.63685714285714,27.130000000000003,55.726,3,3,Hotspot
16.0,34,35.76105916024338,31.738857142857142,62.84057142857144,41.8,68.93,3,3,Hotspot
16.0,35,29.645163473532687,31.332,62.629999999999995,40.134,81.934,3,2,High Risk
16.0,36,47.93812923786791,31.26514285714286,60.00085714285715,26.23,66.364,3,3,Hotspot
16.0,37,68.87854282507125,31.088,54.764571428571436,3.2960000000000003,29.52600000000001,3,3,Hotspot
16.0,38,27.29947050006829,30.142285714285713,51.544000000000004,15.894,19.19000000000001,3,3,Hotspot
16.0,40,16.699805963569794,27.846000000000004,49.17114285714286,3.6159999999999997,19.51,3,3,Hotspot
16.0,41,24.804527226269112,26.876285714285718,41.092,0.6819999999999999,4.298000000000003,3,3,Hotspot
16.0,42,32.35237429661752,25.895714285714284,36.977714285714285,1.374,2.056,3,3,Hotspot
16.0,43,8.795557986605914,24.16542857142857,32.74057142857143,0.0,1.374,2,0,Moderate Risk
16.0,44,8.00486189693417,22.55857142857143,39.01514285714286,0.308,0.308,2,1,Low Risk
16.0,45,7.791664343743056,21.06114285714286,34.33571428571429,3.3519999999999994,3.6600000000000024,2,1,Low Risk
16.0,46,12.066034804288641,19.060285714285715,43.09028571428571,4.936,8.28800000000001,2,1,Low Risk
16.0,47,7.581580049511238,18.084285714285713,38.61828571428571,0.11200000000000002,5.048000000000007,2,1,Low Risk
16.0,48,7.2431022768921425,17.395714285714288,40.618,9.99,10.102000000000007,2,1,Low Risk
16.0,49,6.441178728312023,16.719142857142856,36.66028571428571,0.0,9.990000000000004,2,1,Low Risk
16.0,50,7.701687891315428,14.003142857142857,54.477999999999994,11.546,11.546000000000005,2,1,Low Risk
16.0,51,6.39631272460017,13.430000000000001,41.088,0.06599999999999998,11.612000000000005,2,1,Low Risk
17.0,1,2.044598933385229,12.158571428571427,43.575714285714284,0.565,0.5650000000000017,0,1,Low Risk
17.0,2,1.7932098170876967,11.609285714285715,43.56178571428571,4.65,5.215000000000002,0,1,Low Risk
17.0,3,1.7945455413421822,12.331428571428571,39.873714285714286,8.384,12.104000000000003,0,1,Low Risk
17.0,4,1.5516811005378657,12.854857142857142,47.15342857142857,2.944,11.328000000000003,0,1,Low Risk
17.0,5,1.3311110866872304,13.945714285714285,42.06742857142857,4.215999999999999,7.160000000000002,0,1,Low Risk
17.0,6,1.6814679296333952,14.315999999999999,36.010571428571424,1.72,5.936000000000002,0,1,Low Risk
17.0,7,1.6159371371759537,17.213714285714286,40.68057142857143,0.916,2.636000000000002,0,1,Low Risk
